comment,topic_id,topic_label,confidence
Why the fuck is the mayo in the ketchup bottle?,10,10_ketchup_mayo ketchup_bottle_wheres,1.0
"For the love of God, leave the egg off the burger",0,0_egg burger_egg_eggs_burger,0.641
Who the heck puts tons of mustard on a burger?,5,5_mustard_mustard burger_sandwich_hot,1.0
That is a work of art. I’ll take one with extra pickles,8,8_pickles_cold_hot_heat,0.649
This is the type of love and care that SpongeBob puts into every Krabby Patty,7,7_krabby_krabby patty_patty_looks like,1.0
i don’t understand how this food is considered “unhealthy” when theres like good amount of veggies on it,3,3_lettuce_lettuce tomato_veggies_tomato,0.075
Looks nice but I never understood egg in a burger...,0,0_egg burger_egg_eggs_burger,0.546
Tomato should not be on a burger,3,3_lettuce_lettuce tomato_veggies_tomato,0.086
Where’s the ketchup? Are u kidding me?,10,10_ketchup_mayo ketchup_bottle_wheres,1.0
Where did the onion go?,9,9_onion_egg onion_onion ring_ring,1.0
"Serious question, why would you cook the egg before the burger?",0,0_egg burger_egg_eggs_burger,0.208
Is that… is that a Krabby Patty,7,7_krabby_krabby patty_patty_looks like,1.0
lettuce and tomato don't belong on a burger,3,3_lettuce_lettuce tomato_veggies_tomato,1.0
sorry but pickles on after cheese melt,8,8_pickles_cold_hot_heat,0.665
Is that a burger or a mustard sandwich?,5,5_mustard_mustard burger_sandwich_hot,1.0
You lost me at hot pickle slices 🤢,8,8_pickles_cold_hot_heat,1.0
Mayo on a burger is disgusting. Where the ketchup at?,10,10_ketchup_mayo ketchup_bottle_wheres,1.0
Bro is it just me… or is this whole burger upside down?,-1,outlier,0.032
If you’re going to put egg on the burger you can’t break the yolk.,0,0_egg burger_egg_eggs_burger,0.275
A burger takes longer to cook then an EGG,0,0_egg burger_egg_eggs_burger,0.225
everything was okay until the pickles,8,8_pickles_cold_hot_heat,1.0
la ciencia del huevito es que se reviente la yemita 😒😒😒,11,11_20_come_10_mayo,1.0
Oh there's so much wrong here,22,22_people_theres_reason_tf,0.188
That's the PERFECT burger ever! 🥹,6,6_burger_perfect burger_burger dont_thats,0.432
the egg in the onion is clever,9,9_onion_egg onion_onion ring_ring,1.0
Trade out the onion and egg for a dallop of ketchup and it’s a perfect burger. I would accept raw white onion ring as well.,0,0_egg burger_egg_eggs_burger,0.074
"Beautiful, but way too much mustard for me.",5,5_mustard_mustard burger_sandwich_hot,0.414
"Besides American cheese which is by far the worse, this look incredible.",4,4_cheese_cheeseburger_american_slice,0.471
cheese does not belong to a cheeseburger.,4,4_cheese_cheeseburger_american_slice,0.6
"Cheeseburger, does not have an egg on it.",21,21_cheeseburger_making cheeseburger_youre_making,1.0
Eggs don’t belong with burgers. Sorry,0,0_egg burger_egg_eggs_burger,1.0
eggs don't go on burgers but pineapple goes on pizza,0,0_egg burger_egg_eggs_burger,1.0
Forget the haters! Thats looks glorious 🤤,15,15_delicious_looks delicious_looks_look,0.334
How are burgs even “unhealthy”,3,3_lettuce_lettuce tomato_veggies_tomato,0.033
"I bet when he took a bite, the whole thing slid out and hit the table.",0,0_egg burger_egg_eggs_burger,0.036
I need more mayo 😅,12,12_mayo_mayo looks_bottle_red bottle,0.469
Nobody should ever put mustard on a burger.... thats for a hot dog only!,5,5_mustard_mustard burger_sandwich_hot,0.697
there is ZERO reason to put lettuce on a burger. it is SO stupid.,3,3_lettuce_lettuce tomato_veggies_tomato,1.0
Too clean for a burger,20,20_burger burger_burger_burger thing_burger patty,0.525
why burger go down last?,20,20_burger burger_burger_burger thing_burger patty,1.0
Why do people not season the patty before putting it in the grill,18,18_seasoning_people_grill_burger didnt,1.0
"wrong order, it goes bottom bun, patty, ketchup, mustard, pickles, extra onions, lettuce, cheese, tomato, and top bun",23,23_bun_lettuce_tomatoes_order,1.0
Boy made a crabby Patty,7,7_krabby_krabby patty_patty_looks like,1.0
Burger should have been the first thing on the grill,20,20_burger burger_burger_burger thing_burger patty,1.0
Can’t do the egg on my burger,0,0_egg burger_egg_eggs_burger,1.0
Eggs ruin everything except breakfast.,1,1_egg_yolk_runny_lost,0.155
hes got the crabby patty formula,7,7_krabby_krabby patty_patty_looks like,0.71
I bet that Betty is so rare on the inside,7,7_krabby_krabby patty_patty_looks like,0.48
Interesting technique. Worth a try,9,9_onion_egg onion_onion ring_ring,0.13
"Keep the salad, more cheese. lol.",4,4_cheese_cheeseburger_american_slice,0.119
Le poivre pendant la cuisson directement sur la source de chaleur … bah nan,11,11_20_come_10_mayo,0.314
Let’s take the cheapest excuse for cheese.,4,4_cheese_cheeseburger_american_slice,0.519
Lettuce and tomato are completely unnecessary on a burger. But putting them below the warm patty is mind boggling.,3,3_lettuce_lettuce tomato_veggies_tomato,1.0
"Looks delicious, but why no ketchup? And why didn’t you cut the stem out of the tomato? 🤔",10,10_ketchup_mayo ketchup_bottle_wheres,0.718
Looks great but you built it upside down. I’d have to fix that,-1,outlier,0.028
Lost me on the egg,1,1_egg_yolk_runny_lost,1.0
"More mayo, add ketchup, less mustard, cold condiments on top, no egg, add onion. Actually I guess you made it terribly",-1,outlier,0.068
My only question is why does the bun have half seeds 😂,19,19_bun_sesame_seeds_half,1.0
"No eggs on a cheeseburger, I’ll throw that in the trash",21,21_cheeseburger_making cheeseburger_youre_making,1.0
No ketchup! Go face the wall and take that lettuce with you!,10,10_ketchup_mayo ketchup_bottle_wheres,0.689
"PLEASE.
no salad, no tamato no egg.",0,0_egg burger_egg_eggs_burger,0.083
Preparare un panino come se fosse un piatto di alta cucina stellata... Questa è la felicità 😊,11,11_20_come_10_mayo,0.523
Putting egg in the onion ring that’s honestly genius😳,9,9_onion_egg onion_onion ring_ring,0.735
remove that tomato please 🙂,2,2_tomato_salt_salt pepper_pepper,0.501
That egg should be no where near that burger lad,0,0_egg burger_egg_eggs_burger,1.0
That’s an egg McMuffin not cheeseburger,21,21_cheeseburger_making cheeseburger_youre_making,1.0
The mayo from the red bottle threw me,12,12_mayo_mayo looks_bottle_red bottle,0.736
The most burger burger I have ever seen,6,6_burger_perfect burger_burger dont_thats,0.314
The mustard and mayo switch places and it’s perfect,-1,outlier,0.086
To much mustard not enough mayo,-1,outlier,0.108
"umm ya, I'm gonna need one of those",13,13_yes_ill_need_hot pickle,0.454
Where the rest of the seasoning on the burger,18,18_seasoning_people_grill_burger didnt,0.503
Why are people always trying to add eggs to burgers,0,0_egg burger_egg_eggs_burger,0.26
why is the lettuce and tomato on bottom,3,3_lettuce_lettuce tomato_veggies_tomato,1.0
"You put the pickles on after everything is done not while it’s still cooking. you want the pickles cold, not hot.",8,8_pickles_cold_hot_heat,0.433
(looks at the lettuce and tomato) excuse me there appears to be some healthy junk in my cheeseburger,3,3_lettuce_lettuce tomato_veggies_tomato,0.149
1 slice of cheese bruh that’s it,4,4_cheese_cheeseburger_american_slice,0.348
1st bite pulls entire onion off burger. F,0,0_egg burger_egg_eggs_burger,0.048
A cheeseburger? With that slice of cheese,4,4_cheese_cheeseburger_american_slice,0.328
"Almost perfect, but I'd prefer a runny egg. 🤤😮‍💨",1,1_egg_yolk_runny_lost,0.299
Am I the only one finding the tomato with the white root in the middle absolutely disgusting?,2,2_tomato_salt_salt pepper_pepper,0.59
"american cheese is the best cheese for a cheeseburger, because it melts without splitting.",4,4_cheese_cheeseburger_american_slice,1.0
an egg on the burger makes it 10 times better every time,0,0_egg burger_egg_eggs_burger,0.415
an egg with an onion??? throw the whole burger away,0,0_egg burger_egg_eggs_burger,0.082
bro it's the middle of THE NIGHT NOW IM HUNGRY,-1,outlier,0.033
Coarse sea salt makes anything fried on a flattop so much better,2,2_tomato_salt_salt pepper_pepper,1.0
Cooking the egg in the onion for shape is genius,9,9_onion_egg onion_onion ring_ring,0.91
"damn these comments are pressed. chill out guys it's a burger, you don't have to eat it if you don't want to",6,6_burger_perfect burger_burger dont_thats,0.166
Didn’t seasons both sides I’m out,18,18_seasoning_people_grill_burger didnt,1.0
😡 Noooo. The Tomato goes on top of the Meat 😡,2,2_tomato_salt_salt pepper_pepper,0.495
egg has to have runny yolk...pickles need to be cold....and add mayo,-1,outlier,0.208
Egg needs to be runnneh 🍳,1,1_egg_yolk_runny_lost,0.599
egg should be over easy,1,1_egg_yolk_runny_lost,0.302
"Everyone in these comments have such strong feelings about this, meanwhile I’d like two, please 🤤",13,13_yes_ill_need_hot pickle,0.267
First polite burger ive seen.,-1,outlier,0.18
For the love of all that is holy stop smashing burgers,-1,outlier,0.091
"for the love of God , keep the egg on the burger",0,0_egg burger_egg_eggs_burger,0.467
good way to make a round egg,1,1_egg_yolk_runny_lost,0.164
Had to ruin it with mayo,12,12_mayo_mayo looks_bottle_red bottle,0.311
hey that's my secret formula,-1,outlier,0.037
Hey u gotta try the fried egg on a pastrami burger fr 🔥,0,0_egg burger_egg_eggs_burger,0.378
I’ll take 10 of those,13,13_yes_ill_need_hot pickle,0.702
"I’ll take 2, looks amazing",13,13_yes_ill_need_hot pickle,1.0
I'd eat that but no pickles or mustard. 😁😁,17,17_pickles_pickle_mustard_mustard pickles,1.0
It's not a corndog all I'd taste is mustard😡,5,5_mustard_mustard burger_sandwich_hot,1.0
it's not done first if all,19,19_bun_sesame_seeds_half,0.146
"looks absolutely delicious, but it's not a cheeseburger if it's not just cheese and a burger",4,4_cheese_cheeseburger_american_slice,1.0
Looks good. But it feels too perfect,15,15_delicious_looks delicious_looks_look,0.277
looks great. im not a tomato fan myself but you need to salt it individually as well,2,2_tomato_salt_salt pepper_pepper,1.0
Looks like a Krabby patty 🥺,7,7_krabby_krabby patty_patty_looks like,0.69
lots of hate in here but this is truly a perfect burger to me. I loved everything about it.,6,6_burger_perfect burger_burger dont_thats,0.308
love how you used the oinion,1,1_egg_yolk_runny_lost,0.277
Love it except for the mayo.,12,12_mayo_mayo looks_bottle_red bottle,1.0
Make a saturn burger next🪐,-1,outlier,0.109
"mayo on bottom bun, fresh black pepper, burger, egg(optional), f those pickles, cheese, lettuce, tomato, mayo/mustard on top bun. in that order.
if youve ever been to cherry cricket in denver, peanut butter on bottom bun, burger with salt and pepper, fried egg(runny), gouda, top bun.
be daring and do a split krispy kreme glazed, cut side out, glazed side on burger.",23,23_bun_lettuce_tomatoes_order,1.0
mmmm everything but the tomato would taste good,2,2_tomato_salt_salt pepper_pepper,0.805
my cats definitely not getting that burger,20,20_burger burger_burger_burger thing_burger patty,1.0
Need to 10x that mayo but looks great 😁,12,12_mayo_mayo looks_bottle_red bottle,0.346
never wanted something more in my life 🤤🤤🤤,13,13_yes_ill_need_hot pickle,0.045
"No spices, such a small sprinkle of salt and pepper",2,2_tomato_salt_salt pepper_pepper,0.527
not gonna lie but that looks lush,15,15_delicious_looks delicious_looks_look,1.0
now that was made with love ❤️,16,16_smash_love_im_fact,0.319
