review_id,reviewer_name,rating,review_text,scraped_at
Ci9DQUlRQUNvZENodHljRjlvT25NMVYxOUNjMmxRVlhsS0xYSlBaamwzUWpaVVVVRRAB,,2.0,"Rasa mie nya beda, pucettttt ga seperti biasanya, level 2 tapi pedes banget, plating nya berantakan. Kacauuu",2026-08-31T16:52:13
Ci9DQUlRQUNvZENodHljRjlvT213elJteGZOM2RsUkhKQlJXcFFWVmhCUmpsa1kxRRAB,,4.0,"Seperti biasa, mie gacoan selalu ramai pengunjung. Mie gacoan masih enak kok rasanya, cuma harus sabar ngantri sebenernya, pelayanan ok, harga masih terjangkau. Tempatnya luas, bisa buat nongkrong bareng teman. Ada musholla juga, barangkali mau sholat disini. Bisa buat self reward. Kalau kesini jangan di jam makan siang, pasti penuh.",2026-08-31T16:52:13
Ci9DQUlRQUNvZENodHljRjlvT21KWGJGOXZRbmt5ZFhObU1HRjVaMWRrVDFoNWNsRRAB,,1.0,"Dari awal kesini jujur sistem pemesanan nya ribet, menurut saya aneh aja.. kalau ada kursi kosong kenapa harus antri, kan bisa duduk ya tinggal duduk scan pesan dan bayar. Jika kursi penuh y udh itu menurut saya terserah yang mau makan. …",2026-08-31T16:52:13
Ci9DQUlRQUNvZENodHljRjlvT21OUk4zaEhRMWhWUnpneVFuRmFRV2xWZWpGRFYxRRAB,,1.0,"Mungkin hari sialnya saya, udah sering dateng ke outlet ini, tapi kali ini apes. 1. Order via scan makanan dateng 30 mnt an tapi minuman dateng luaaammaaa bgt …",2026-08-31T16:52:20
Ci9DQUlRQUNvZENodHljRjlvT2tsc1Ixa3hWMWhJV1drMlNHaFBlV3BtYkVKaGIxRRAB,,1.0,"padahal antrian lagi rame bgt, waiting list juga buat makan ditempat, tapi tbtb ada 2 cwe dtg bilang ke mas yang jaga depan katanya kenal sama mas mas yang difoto, akhirnya yang lain antri dan waiting list dia didahulukan masuk padahal baru dateng, lain kali tolong ikut antri ya, kasian yang lain jugaa nunggu lama dan mau makan, udah ga musim jalur orang dalem gini, tolong dong buat mas karyawannya juga yang adil sama pengunjung yang lain, yang lain juga makan dan bayar.",2026-08-31T16:52:20
Ci9DQUlRQUNvZENodHljRjlvT2w5M2QyMURkVzQzVlhsdGRHOW5TM0Y0YkdsWmVYYxAB,,5.0,Ternyata jam segini jam sepinya. Jam 15:00 WIB. Ga ngantri. Saya ga suka ngantri dan nemu jam sepinya. Ha ha ha... …,2026-08-31T16:52:20
Ci9DQUlRQUNvZENodHljRjlvT214aU9VNWxUREJwWjBOSU5ESm9XWFpmWlhKNU1YYxAB,,5.0,"Perkiran luas, sekarang transaksi lebih mudah gausah hrus antri pesan dan bayar cukup dari meja aja. Nomer antrian bunyi tinggal ambil minum dan selesaiii, untuk rasa seperti gacoan pd umum nya",2026-08-31T16:52:20
Ci9DQUlRQUNvZENodHljRjlvT205b1pEUk9UVkZ5WTA5dWN5MXBlbFJmUkRGNVJYYxAB,,1.0,"pemesanan di meja, pesan dimsum udang keju dll agak lama, pemanggilan kurang terdengar ke seluruh ruangan, tempat kurang bersih terdapat kecoa di dekat meja makan",2026-08-31T16:52:20
Ci9DQUlRQUNvZENodHljRjlvT2tRMVJXcHlSbU55YkZrNE5rTlRSekI2WldZd2JIYxAB,,1.0,Beli level 3 dikasihnya pesenan orang yg udh lama dikasih ke sy jadi gaenaklah rasanya parah banget minta level 3 di kasih level 1 jd cabenya di pisah sendiri payah banget. Oh iya satu lg itu parkiran kapan diambil alih sm gacoanya sendiri …,2026-08-31T16:52:20
Ci9DQUlRQUNvZENodHljRjlvT25SWVlVRmpWbUppV0dVd016UklSbU5wUzJObVpVRRAB,,1.0,"Hampir semua penanda level pada kemasan sudah tersobek, sehingga tidak bisa dibedakan levelnya. Ini sangat merugikan, terutama bagi saya sebagai jastiper yang membawa banyak pesanan. Mohon diperbaiki dan tambahkan penandaan jelas seperti SPIDOL!!!",2026-08-31T16:52:20
Ci9DQUlRQUNvZENodHljRjlvT2tSVE0wVjNOVTlsTmtaUVJYSm1SMlJhVkdKUFgxRRAB,,4.0,"Mie gacoan masih jadi pilihan utama untuk jenis mie pedes berlevel. Mienya kalo lagi pedes, pedesssss bgt walaupun level 1. Favorit di menu dimsum adalah udang keju🤤 untuk tempatnya luassss, tempat makan banyak bebas milih mau dimana aja, parkiran juga luas amannn.",2026-08-31T16:52:26
