person_id,Category,organizations,locations,dates,skills
Candidate_16852973,HR,"Team management Marketing savvy Conflict, DOT, Supervisor Training Certification Certified, IHG, Customer Loyalty and Marketing","Hospitality, Training, Client, Missouri, － City","15+ years, Dec 2013, 2 months, 2012, daily","aws, data analysis"
Candidate_22323967,HR,"Communications, Marketing, Human Resources and Technology, Current HR Specialist, State, Operations, Conducted","US, － City, Connecticut","monthly, quarterly, annual, daily, 2013",git
Candidate_33176873,HR,"Human Resources Executive Management, HRIS, Healthcare Enviroment Skills Recruiting FMLA/EEO/FLSA HRIS Development Benefit Administration Policy, Kansas Health Institute -Health Outcomes, Accolades: Project Management Institute","Kansas, Memberships","20 years, 15 plus years, 5 years, 4 years, 1999",
Candidate_27018550,HR,"Driven, Skills Type, Microsoft, Access, Outlook, PowerPoint Personnel","－ City, San Antonio","20 years, 50, May 2007, 2007, 2003",
Candidate_17812897,HR,"Compensation Administration Orientation & On-Boarding HRIS Technologies Training & Development Performance Management Organizational Development HR Program/Project Management, MS Office, PowerPoint, Current Company Name, State Manage the Human Resource","Paychex, VSTD, － City","Jan 2015, my first month, Jan 2013 to Jan 2015, day, season",aws
Candidate_11592605,HR,"Highlights Microsoft Office, Time, 08/2014 HR Generalist Company Name, State, Served","－ City, H-1B, U.S.","monthly, daily, 2012, 2000, 2008",
Candidate_25824789,HR,"State, Highlights University Events/Special Programs Prepare Agendas FMLA/, Sharepoint HR Program/Project Management Microsoft Office Suites Orientation & On-Boarding Training & Development Performance Management Organizational Development HR Policies & Procedures Publisher/InDesign/Quark, Runs/Walks OF NOTE Professional Development: Complete, Staff Development Days","Houston, Sharepoint, Company Name City, Name City",1999,
Candidate_15375009,HR,"Project, 06/2016, Current Company Name, 05/2016 Company Name, Directors",,"year-end Work History HR, 9 months, year-over-year",aws
Candidate_11847784,HR,"FLSA, ADA, Skills Management consultation, Micro, PowerPoint Skills Problem-solve",－ City,"15+ years, Eight years, 250+, 10-month, daily",aws
Candidate_32896934,HR,"Highlights New Employee Orientation Applicant Tracking System Onboarding Payroll Management, Kronos Timekeeping System Compensation, Lean Manufacturing Business Strategy, Current HR Clerk Company Name, Administrative Coordinator Company Name","Lean, － City","01/2010, daily, monthly, 2015",aws
Candidate_29149998,HR,"Human Resources, Highlights Compensation knowledge, Current Company Name － City, State Sourced, Circle K -Naples","New Hire, － City, Filling, Filing","3 years', daily",aws
Candidate_11480899,HR,"Highlights Compensation, Performance, State, Current Sunningdale Tech, Thailand) Co.","Name City, Rayong","years, annual",
Candidate_23155093,HR,"Management and Leadership, Microsoft Word, Microsoft Excel, Microsoft Access, Microsoft PowerPoint","Strong, Name City","annual, daily, Monthly",
Candidate_11763983,HR,"PowerPoint, ERP/AS400, HRIS, ADP Payroll, Paycor","Winpak, E2, U.S., Canada","weekly, monthly, 2014, Jan 2002, 1998-1999",aws
Candidate_27490876,HR,"Background Checks, Benefits Administration, Compliance, Compensation, Drug Testing, Employee Relations, Event Planning, Full-Cycle Recruitment, Interviewing,, Training and Development, Worker's Compensation, Unemployment Claims, Kindred Healthcare",Coordinator City,"2009-2010, a year, January 2014, January 2011 to January 2014, January 2007 to January 2010",aws
Candidate_32977530,HR,"AP, Property Management, ERP, Customer, Invoice processing Telecommunication skills Active","SAP Strong, Name City, Company Name City","weekly, monthly, quarterly, several months, each day",
Candidate_93002334,HR,"Human Resources, Customer Service, MS Excel, Word, Power Point, SAP, Employee Relations","OrgPlus, New York, Illinois, U.S., Chicago","October 2012 to July 2015, quarterly, January 2012 to October 2012, February 2008 to January 2012, monthly",
Candidate_24184357,HR,"Resourceful Human Resources, Highlights Analytical Skills Good Interpersonal Skills Organizational Skills Communication Skills Recruiting and Staffing Performance Management Employee Relations Selection/Recruiting Employee Orientation Training & Development Policy & Procedure Writing Detail Organization Staff Supervision Employee Records System, Training Job Analysis Cold Calling, greets, Contributes",,"2-months, January 2014 to January 2015, annual, first day",aws
Candidate_73077810,HR,"Highlights ADP, Microsoft Offices, HRIS, Payroll, National Human Resources Association Event","－ City, Resolves, Harford, US","January 2013 to January 2015, January 2013 to January 2014, January 2006 to January 2012, annual, 1000+",
Candidate_13879043,HR,"the Human Resource Function, Performance Management, Jobs and Competencies, Training & Development Organizational Development Compensation and Benefits, Business Unit","Recruiting, Employee, Inputs",7+ years,data analysis
Candidate_30163002,HR,"SKILL HIGHLIGHTS Microsoft Office, Extra Mile Award-2009, State Served, PowerPoint, State Assisted","Strong, － City, United States","April 2013 to October 2013, June 2009 to August 2012, August 2010 to, December 2010, 2012",
Candidate_18827609,HR,"Human Resources or, Skills Recruiting Onboarding Project Management Event Planning Employee Relations Teamwork/Collaboration Training and Development Public Speaking Social Media Marketing ADP Workday Microsoft Office, Suite ADP Benefits Branding Budget, Competitive Email Employee Relations Event Planning, Microsoft","the San Francisco Bay Area, Company Name, hackathon, D&I, North Carolina State University - City","3+ years, Workday, 20 to 100+, annual, 250+",
Candidate_25676643,HR,"Presidential Management Fellows, Skills HR Advisory Services Strategic Recruitment Planning HR Policies & Procedures Staff Recruitment & Retention HR Program/Project Management Orientation & Onboarding Performance Management Delegated Examining Classification and Position Management Special Emphasis Programs MS Office, PowerPoint, State, the Office of Inspector General",Name City,"9 years, July 2014",
Candidate_12786012,HR,"Highlights Employee relations Compensation, HRIS, Certified Professional Human Resource Management, the Staffing Planning Committee, Wellness",City,2012,
Candidate_87968870,HR,"Bilingual Human Resources Professional, Highlights Hiring, State, Current Develops Human Resources, Human Resources",Name City,"weekly, 10/2008, 10/2004",aws
Candidate_46258701,HR,"Core Qualifications Exceptional, Innovative Microsoft Office, Personnel, Applicant Tracking System EEO, Organized Exceptional","I-9, SAP, Sharepoint, Ultipro, New Hires","First day, first day, first day's, 2007",
Candidate_14225422,HR,"Human Resources, ISO, FDA, Knowledge of State, Current Company Name City","Ceridian HRIS, Paychex, Name City, Lake Forest, Texas","weekly, Monthly, all day to day, monthly, annual",aws
Candidate_29297973,HR,"Current HR Representative Company Name, 09/2016 Human Resources Supervisor/ Staffing Coordinator Human Resource Representative Company Name, State, EEO, ADA","－ City, Chaska","four months, monthly, 3 months, 3 days, 60 days",aws
Candidate_18334783,HR,"Core Accomplishments Project Management:, Operations Management: Managed, Professional Experience Company Name, Forbes Bros Inc, Site Office","Employee, Houston, Roscoe, US, Forest Creek","20 years', daily, January 2015, January 2013 to January 2015, January 2010 to January 2013",
Candidate_19717385,HR,"Organisational Psychology 2018, Alliant International University － City, State, United States California School of Professional Psychology Master of Science , Counselling Psychology 2015, Avinashilingam Institute for Home Science and Higher Education","India GPA - 3.63, － City, Assessed","2016, 2015, daily, Intern Jan 2015, Dec 2014 to Jan 2015",
Candidate_49937469,HR,"Current Company Name, State, State Conducted",－ City,"September 2015, monthly, November 2011 to September 2015, weekly, June 2002",
Candidate_18316239,HR,"Project Management and Finance, Certified Professional in Human Resources (PHR, US Armed Forces, Qualifications Staff Recruitment & Retention Employee Relations Alternative Dispute Resolution, ADR",Germany,"9 year, 2004, annually, 50+, annual",
