Topic,Count,Name,Representation,Representative_Docs
-1,75,-1_mayo_add_bro_love,"['mayo', 'add', 'bro', 'love', 'burger', 'time', 'sauces', 'smashing', 'upside', 'good']","['More mayo, add ketchup, less mustard, cold condiments on top, no egg, add onion. Actually I guess you made it terribly', 'Bro is it just me… or is this whole burger upside down?', 'Oh my God, I love your videos so much. It brings me so much inspiration and I love every time you spread the mayo on the bun and it makes me so happy like I literally can’t stand it in those pickles are so even my gosh like I love the mayo and the cheese and the egg and the mustard and the pickles and the mayo and the lettuce and the tomatoes and the buns and the sesame seeds and everything on them in the heat.']"
0,48,0_egg burger_egg_eggs_burger,"['egg burger', 'egg', 'eggs', 'burger', 'burgers', 'dont', 'belong', 'dont belong', 'cooking', 'cook']","['Egg on a burger 🍔 🥰', 'Can’t do the egg on my burger', 'egg in burger ? are you insane ?']"
1,35,1_egg_yolk_runny_lost,"['egg', 'yolk', 'runny', 'lost', 'prefer', 'want', 'ahh', 'mf', 'mustard egg', 'split']","['why would an egg be there', 'Why the egg ? 😳', 'I prefer my egg yolk runny']"
2,29,2_tomato_salt_salt pepper_pepper,"['tomato', 'salt', 'salt pepper', 'pepper', 'hard', 'remove', 'core', 'tomato looks', 'good', 'center']","['The mess u needed a ripe tomato', 'take the tomato out and we chilling', 'No salt on the tomato, amateur']"
3,27,3_lettuce_lettuce tomato_veggies_tomato,"['lettuce', 'lettuce tomato', 'veggies', 'tomato', 'burger lettuce', 'meat', 'sauces', 'burger', 'belong', 'dont']","[""lettuce and tomato don't belong on a burger"", 'What is this communist bullshit where the lettuce and tomato go UNDER the meat?', 'why is the lettuce and tomato on bottom']"
4,27,4_cheese_cheeseburger_american_slice,"['cheese', 'cheeseburger', 'american', 'slice', 'yall', 'does', 'making', 'use', 'ruined', 'make cheeseburger']","['is that a royale with cheese? 🤣', 'american cheese is the best cheese for a cheeseburger, because it melts without splitting.', 'why you put cheese on my cheeseburger?']"
5,26,5_mustard_mustard burger_sandwich_hot,"['mustard', 'mustard burger', 'sandwich', 'hot', 'way', 'great', 'burger', 'head', 'heck', 'dollop']","['Minus the mustard please. I’ll have 2.', 'I was with you until you put mustard on it.', 'Why is there so much mustard on that?']"
6,21,6_burger_perfect burger_burger dont_thats,"['burger', 'perfect burger', 'burger dont', 'thats', 'perfect', 'hamburger', 'thought', 'make', 'like', 'dont']","['lots of hate in here but this is truly a perfect burger to me. I loved everything about it.', 'Everybody has their own idea of what makes a perfect burger 🍔', ""That's the PERFECT burger ever! 🥹""]"
7,19,7_krabby_krabby patty_patty_looks like,"['krabby', 'krabby patty', 'patty', 'looks like', 'formula', 'spongebob', 'like', 'secret', 'secret formula', 'just']","['looks like a Krabby patty', 'Is that… is that a Krabby Patty', 'that my friend is a krabby patty']"
8,19,8_pickles_cold_hot_heat,"['pickles', 'cold', 'hot', 'heat', 'lost', 'okay', 'wouldve', 'pickles cheese', 'pickle', 'ill']","['Wrong. Pickles are a cold item. Cold items go on top of hot items. Egg is unnecessary.', 'Lost me with the hot pickles', 'You put the pickles on after everything is done not while it’s still cooking. you want the pickles cold, not hot.']"
9,19,9_onion_egg onion_onion ring_ring,"['onion', 'egg onion', 'onion ring', 'ring', 'onion egg', 'try', 'egg', 'onions', 'did', 'putting']","['the egg in the onion is clever', 'Anyone that fries an egg in an onion ring need putting on death row… more so if that onion ring isn’t beer battered.', 'Egg in the onion ring was a genius move']"
10,18,10_ketchup_mayo ketchup_bottle_wheres,"['ketchup', 'mayo ketchup', 'bottle', 'wheres', 'mayo', 'white', 'bottle ketchup', 'heck', 'peanut', 'mayo add']","['Where’s the ketchup? Are u kidding me?', 'No ketchup is a sin.', 'Don’t trust anyone who put mayo on a ketchup bottle']"
11,17,11_20_come_10_mayo,"['20', 'come', '10', 'mayo', 'burger', '', '', '', '', '']","['como que quitandole el huevo quedaria de 10😃', 'Produits de luxe, même les tomates sont à 4€99 le kilo. Jte parle pas de la viande à 20€ le kilo.', 'Preparare un panino come se fosse un piatto di alta cucina stellata... Questa è la felicità 😊']"
