comment,aspect,label,score
Why the fuck is the mayo in the ketchup bottle?,ingredients,negative,0.789
"For the love of God, leave the egg off the burger",ingredients,negative,0.44
i don’t understand how this food is considered “unhealthy” when theres like good amount of veggies on it,ingredients,negative,0.906
Looks nice but I never understood egg in a burger...,appearance,negative,0.633
Looks nice but I never understood egg in a burger...,ingredients,negative,0.633
Where’s the ketchup? Are u kidding me?,ingredients,negative,0.813
"Serious question, why would you cook the egg before the burger?",ingredients,neutral,0.63
sorry but pickles on after cheese melt,ingredients,neutral,0.458
Mayo on a burger is disgusting. Where the ketchup at?,ingredients,negative,0.956
If you’re going to put egg on the burger you can’t break the yolk.,ingredients,negative,0.63
A burger takes longer to cook then an EGG,ingredients,neutral,0.527
the egg in the onion is clever,ingredients,positive,0.606
Trade out the onion and egg for a dallop of ketchup and it’s a perfect burger. I would accept raw white onion ring as well.,ingredients,positive,0.591
American cheese?!,ingredients,neutral,0.533
"Besides American cheese which is by far the worse, this look incredible.",appearance,positive,0.614
"Besides American cheese which is by far the worse, this look incredible.",ingredients,positive,0.614
cheese does not belong to a cheeseburger.,ingredients,negative,0.73
"Cheeseburger, does not have an egg on it.",ingredients,negative,0.529
Eggs don’t belong with burgers. Sorry,ingredients,negative,0.885
eggs don't go on burgers but pineapple goes on pizza,ingredients,neutral,0.607
Forget the haters! Thats looks glorious 🤤,appearance,positive,0.85
I need more mayo 😅,ingredients,neutral,0.609
"wrong order, it goes bottom bun, patty, ketchup, mustard, pickles, extra onions, lettuce, cheese, tomato, and top bun",ingredients,negative,0.498
Can’t do the egg on my burger,ingredients,negative,0.785
Eggs ruin everything except breakfast.,ingredients,negative,0.878
"Keep the salad, more cheese. lol.",ingredients,positive,0.547
Let’s take the cheapest excuse for cheese.,price,negative,0.462
Let’s take the cheapest excuse for cheese.,ingredients,negative,0.462
"Looks delicious, but why no ketchup? And why didn’t you cut the stem out of the tomato? 🤔",taste,negative,0.665
"Looks delicious, but why no ketchup? And why didn’t you cut the stem out of the tomato? 🤔",appearance,negative,0.665
"Looks delicious, but why no ketchup? And why didn’t you cut the stem out of the tomato? 🤔",ingredients,negative,0.665
looks good,appearance,positive,0.771
Looks great but you built it upside down. I’d have to fix that,appearance,negative,0.807
Lost me on the egg,ingredients,negative,0.888
"More mayo, add ketchup, less mustard, cold condiments on top, no egg, add onion. Actually I guess you made it terribly",ingredients,negative,0.566
My only question is why does the bun have half seeds 😂,ingredients,negative,0.536
"No eggs on a cheeseburger, I’ll throw that in the trash",ingredients,negative,0.843
No ketchup! Go face the wall and take that lettuce with you!,ingredients,negative,0.648
Odd looking ketchup,appearance,negative,0.846
Odd looking ketchup,ingredients,negative,0.846
"PLEASE.
no salad, no tamato no egg.",ingredients,negative,0.745
Putting egg in the onion ring that’s honestly genius😳,ingredients,positive,0.721
That egg should be no where near that burger lad,ingredients,negative,0.748
That’s an egg McMuffin not cheeseburger,ingredients,neutral,0.503
That’s not ketchup.,ingredients,negative,0.497
The mayo from the red bottle threw me,ingredients,negative,0.866
The mustard and mayo switch places and it’s perfect,ingredients,positive,0.797
To much mustard not enough mayo,ingredients,negative,0.758
Why are people always trying to add eggs to burgers,ingredients,negative,0.855
(looks at the lettuce and tomato) excuse me there appears to be some healthy junk in my cheeseburger,appearance,negative,0.804
(looks at the lettuce and tomato) excuse me there appears to be some healthy junk in my cheeseburger,ingredients,negative,0.804
1 slice of cheese bruh that’s it,ingredients,neutral,0.485
A cheeseburger? With that slice of cheese,ingredients,neutral,0.582
"Almost perfect, but I'd prefer a runny egg. 🤤😮‍💨",ingredients,positive,0.633
"american cheese is the best cheese for a cheeseburger, because it melts without splitting.",ingredients,positive,0.6
an egg on the burger makes it 10 times better every time,ingredients,positive,0.748
an egg with an onion??? throw the whole burger away,ingredients,negative,0.827
an eggion is diabolical,ingredients,negative,0.62
Cooking the egg in the onion for shape is genius,ingredients,positive,0.664
Damn that looks good,appearance,positive,0.913
double mustard no ketchup😭,ingredients,negative,0.627
😡 Noooo. The Tomato goes on top of the Meat 😡,ingredients,negative,0.897
🤤it looks so tasty,appearance,positive,0.828
egg has to have runny yolk...pickles need to be cold....and add mayo,ingredients,negative,0.573
Egg needs to be runnneh 🍳,ingredients,neutral,0.449
egg should be over easy,ingredients,negative,0.907
"for the love of God , keep the egg on the burger",ingredients,neutral,0.4
good way to make a round egg,ingredients,positive,0.696
Had to ruin it with mayo,ingredients,negative,0.884
Hey u gotta try the fried egg on a pastrami burger fr 🔥,ingredients,neutral,0.444
"I’ll take 2, looks amazing",appearance,positive,0.891
It's not a corndog all I'd taste is mustard😡,taste,negative,0.881
"looks absolutely delicious, but it's not a cheeseburger if it's not just cheese and a burger",taste,negative,0.409
"looks absolutely delicious, but it's not a cheeseburger if it's not just cheese and a burger",appearance,negative,0.409
"looks absolutely delicious, but it's not a cheeseburger if it's not just cheese and a burger",ingredients,negative,0.409
Looks delicious 😋,taste,positive,0.88
Looks delicious 😋,appearance,positive,0.88
Looks good. But it feels too perfect,appearance,positive,0.723
looks great. im not a tomato fan myself but you need to salt it individually as well,appearance,positive,0.774
Looks like a Krabby patty 🥺,appearance,neutral,0.383
Looks pretty good,appearance,positive,0.901
Love it except for the mayo.,ingredients,positive,0.664
"mayo on bottom bun, fresh black pepper, burger, egg(optional), f those pickles, cheese, lettuce, tomato, mayo/mustard on top bun. in that order.
if youve ever been to cherry cricket in denver, peanut butter on bottom bun, burger with salt and pepper, fried egg(runny), gouda, top bun.
be daring and do a split krispy kreme glazed, cut side out, glazed side on burger.",ingredients,neutral,0.47
mmmm everything but the tomato would taste good,taste,positive,0.47
Need to 10x that mayo but looks great 😁,appearance,positive,0.83
Need to 10x that mayo but looks great 😁,ingredients,positive,0.83
No egg please.,ingredients,negative,0.88
not gonna lie but that looks lush,appearance,positive,0.903
"Okay, but the onion ring-egg thing it’s actually genious",ingredients,positive,0.752
Pickles and mustard don’t go with eggs,ingredients,negative,0.609
plastic cheese,ingredients,neutral,0.483
remove mayo and add ketchup,ingredients,neutral,0.487
ruined it with the sauces. can't even taste the burger,taste,negative,0.949
start cooking the burger first then onions and eggs then buns. That burger is undercooked,ingredients,negative,0.841
"Sub mustard, add ketchup",ingredients,neutral,0.494
that burger looks undercooked,appearance,negative,0.94
That egg finished cooking three business days before the burger...,ingredients,neutral,0.629
that egg is fked,ingredients,negative,0.899
that looks so burger,appearance,positive,0.464
thats looks like a nice cheese burger but i prefer not to have the tomoato in 👍,appearance,positive,0.459
thats looks like a nice cheese burger but i prefer not to have the tomoato in 👍,ingredients,positive,0.459
The egg yolk should be runny 86 the top bun and half of the mustard,ingredients,neutral,0.543
The onion egg trick….that’s brilliant!,ingredients,positive,0.868
"WHAT'S THE WHITE ""STUFF"" IN THE RED (KETCHUP/CATSUP) BOTTLE?🤔",ingredients,neutral,0.542
Why cook the egg bun and onion before burger is even on?,ingredients,negative,0.739
Why do people put sauces on bun with veggies. Sauces need be on the meat …..,ingredients,negative,0.821
Why is the ketchup white,ingredients,negative,0.784
Why they always use this cheap bad cheese?,price,negative,0.94
Why they always use this cheap bad cheese?,ingredients,negative,0.94
why would an egg be there,ingredients,negative,0.796
